season,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,Precious Achiuwa,achiupr01,25.0,NYK,C,57,10.0,1170.0,164,327,0.502,10.0,36.0,0.278,154.0,291.0,0.529,0.517,41,69,0.594,101.0,216.0,317.0,55,47.0,42.0,45.0,81.0,379,0.0
2025,Steven Adams,adamsst01,31.0,HOU,C,58,3.0,794.0,91,167,0.545,0.0,2.0,0.0,91.0,165.0,0.552,0.545,43,93,0.462,166.0,161.0,327.0,66,22.0,28.0,54.0,60.0,225,0.0
2025,Bam Adebayo,adebaba01,27.0,MIA,C,78,78.0,2674.0,540,1113,0.485,79.0,221.0,0.357,461.0,892.0,0.517,0.521,251,328,0.765,185.0,564.0,749.0,337,98.0,53.0,161.0,162.0,1410,1.0
2025,Ochai Agbaji,agbajoc01,24.0,TOR,SG,64,45.0,1739.0,266,534,0.498,101.0,253.0,0.399,165.0,281.0,0.587,0.593,34,48,0.708,61.0,181.0,242.0,98,58.0,30.0,54.0,125.0,667,0.0
2025,Santi Aldama,aldamsa01,24.0,MEM,PF,65,16.0,1660.0,313,648,0.483,120.0,326.0,0.368,193.0,322.0,0.599,0.576,65,94,0.691,94.0,322.0,416.0,188,52.0,29.0,71.0,76.0,811,0.0
2025,Nickeil Alexander-Walker,alexani01,26.0,MIN,SG,82,10.0,2073.0,270,616,0.438,141.0,370.0,0.381,129.0,246.0,0.524,0.553,92,118,0.78,54.0,211.0,265.0,223,50.0,34.0,99.0,139.0,773,0.0
2025,Trey Alexander,alexatr01,21.0,DEN,SG,24,0.0,117.0,13,41,0.317,3.0,17.0,0.176,10.0,24.0,0.417,0.354,3,4,0.75,1.0,11.0,12.0,11,2.0,1.0,5.0,10.0,32,0.0
2025,Grayson Allen,allengr01,29.0,PHO,SG,64,7.0,1544.0,219,489,0.448,149.0,350.0,0.426,70.0,139.0,0.504,0.6,93,114,0.816,34.0,160.0,194.0,137,54.0,19.0,75.0,95.0,680,0.0
2025,Jarrett Allen,allenja01,26.0,CLE,C,82,82.0,2296.0,452,640,0.706,0.0,5.0,0.0,452.0,635.0,0.712,0.706,199,277,0.718,216.0,582.0,798.0,158,77.0,73.0,97.0,127.0,1103,0.0
2025,Jose Alvarado,alvarjo01,26.0,NOP,PG,56,23.0,1366.0,204,521,0.392,111.0,309.0,0.359,93.0,212.0,0.439,0.498,60,74,0.811,27.0,109.0,136.0,259,74.0,14.0,86.0,91.0,579,0.0
2025,Kyle Anderson,anderky01,31.0,GSW,PF,36,3.0,541.0,76,169,0.45,19.0,52.0,0.365,57.0,117.0,0.487,0.506,18,27,0.667,27.0,83.0,110.0,81,26.0,20.0,20.0,40.0,189,0.0
2025,Kyle Anderson,anderky01,31.0,MIA,SF,25,1.0,461.0,66,134,0.493,6.0,18.0,0.333,60.0,116.0,0.517,0.515,30,38,0.789,26.0,70.0,96.0,64,14.0,13.0,17.0,41.0,168,0.0
2025,Giannis Antetokounmpo,antetgi01,30.0,MIL,PF,67,67.0,2289.0,793,1319,0.601,14.0,63.0,0.222,779.0,1256.0,0.62,0.607,436,707,0.617,147.0,651.0,798.0,433,58.0,78.0,206.0,155.0,2036,11.0
2025,Cole Anthony,anthoco01,24.0,ORL,PG,67,22.0,1234.0,230,543,0.424,77.0,218.0,0.353,153.0,325.0,0.471,0.494,93,113,0.823,46.0,158.0,204.0,191,45.0,32.0,103.0,151.0,630,0.0
2025,OG Anunoby,anunoog01,27.0,NYK,PF,74,74.0,2706.0,489,1027,0.476,171.0,460.0,0.372,318.0,567.0,0.561,0.559,183,226,0.81,97.0,261.0,358.0,164,110.0,65.0,102.0,172.0,1332,0.0
2025,Armel Traoré,armeltr01,22.0,LAL,SF,9,0.0,67.0,6,19,0.316,0.0,7.0,0.0,6.0,12.0,0.5,0.316,2,7,0.286,2.0,13.0,15.0,1,4.0,2.0,3.0,6.0,14,0.0
2025,Deni Avdija,avdijde01,24.0,POR,SF,72,54.0,2161.0,402,844,0.476,125.0,342.0,0.365,277.0,502.0,0.552,0.55,290,372,0.78,110.0,412.0,522.0,281,71.0,35.0,196.0,171.0,1219,2.0
2025,Deandre Ayton,aytonde01,26.0,POR,C,40,40.0,1206.0,265,468,0.566,6.0,32.0,0.188,259.0,436.0,0.594,0.573,40,60,0.667,124.0,282.0,406.0,64,31.0,39.0,69.0,88.0,576,0.0
2025,Marvin Bagley III,baglema01,25.0,WAS,C,19,1.0,166.0,38,71,0.535,2.0,10.0,0.2,36.0,61.0,0.59,0.549,15,23,0.652,27.0,29.0,56.0,7,7.0,5.0,11.0,12.0,93,0.0
